Code de la commune ou de l’arrondissement;Section (cadastre);Numéro de plan (cadastre);MORALE
21515;AI;0400;21515AI0400
16286;K;0361;162860K0361
21555;AC;0242;21555AC0242
21187;A;0119;211870A0119
16316;B;0568;163160B0568
21003;C;0028;210030C0028
21599;F;1617;215990F1617
16123;A;0418;161230A0418
21660;A;0317;216600A0317
21510;ZZ;0003;21510ZZ0003
16404;AC;0058;16404AC0058
21710;F;0014;217100F0014
21107;ZC;0034;21107ZC0034
16400;C;0908;164000C0908
21287;ZD;0110;21287ZD0110
21228;AC;0042;21228AC0042
16337;I;0120;163370I0120
21308;ZH;0182;21308ZH0182
21661;A;0039;216610A0039
16015;CI;0117;16015CI0117
21065;A;1046;210650A1046
21485;AW;0136;21485AW0136
16097;A;0147;160970A0147
21395;AB;0130;21395AB0130
21384;ZB;0079;21384ZB0079
16212;E;0875;162120E0875
21508;A;0010;215080A0010
21255;ZB;0026;21255ZB0026
16357;C;1283;163570C1283
21341;B;0371;213410B0371
21050;ZK;0255;21050ZK0255
16385;AB;0094;16385AB0094
21021;AH;0104;21021AH0104
21231;DK;0053;21231DK0053
16204;A;0335;162040A0335
21349;AB;0152;21349AB0152
21166;AH;0229;21166AH0229
16185;D;0611;161850D0611
21120;AP;0003;21120AP0003
21607;AK;0041;21607AK0041
16369;D;0551;163690D0551
21223;AE;0006;21223AE0006
21228;E;0077;212280E0077
16418;B;0915;164180B0915
21231;HL;0403;21231HL0403
21116;A;0103;211160A0103
16187;AE;0074;16187AE0074
21133;AL;0085;21133AL0085
21222;ZH;0025;21222ZH0025
